Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	Neurotransmitter receptors and postsynaptic signal transmission	7	0.0341	3.61E-7	6.27E-4
REACTOME_SIGNALING_BY_INTERLEUKINS	473	Signaling by Interleukins	9	0.0190	1.01E-6	8.74E-4
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	270	Transmission across Chemical Synapses	7	0.0259	2.27E-6	1.31E-3
REACTOME_SIGNALING_BY_GPCR	702	Signaling by GPCR	10	0.0142	3.29E-6	1.43E-3
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	736	Transport of small molecules	10	0.0136	4.99E-6	1.52E-3
REACTOME_MUSCLE_CONTRACTION	203	Muscle contraction	6	0.0296	5.89E-6	1.52E-3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	314	G alpha (i) signalling events	7	0.0223	6.11E-6	1.52E-3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	789	Cytokine Signaling in Immune system	10	0.0127	9.13E-6	1.98E-3
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	22	Regulation of signaling by CBL	3	0.1364	1.51E-5	2.91E-3
REACTOME_REGULATION_OF_INSULIN_SECRETION	78	Regulation of insulin secretion	4	0.0513	2.69E-5	4.67E-3
REACTOME_NEURONAL_SYSTEM	411	Neuronal System	7	0.0170	3.45E-5	5.44E-3
REACTOME_OPIOID_SIGNALLING	90	Opioid Signalling	4	0.0444	4.72E-5	6.38E-3
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	32	G-protein beta:gamma signalling	3	0.0938	4.78E-5	6.38E-3
REACTOME_ION_CHANNEL_TRANSPORT	183	Ion channel transport	5	0.0273	5.31E-5	6.59E-3
REACTOME_SYNTHESIS_OF_LIPOXINS_LX	6	Synthesis of Lipoxins (LX)	2	0.3333	7.04E-5	8.15E-3
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	108	Integration of energy metabolism	4	0.0370	9.61E-5	1.04E-2
REACTOME_SMOOTH_MUSCLE_CONTRACTION	43	Smooth Muscle Contraction	3	0.0698	1.17E-4	1.08E-2
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	217	G alpha (q) signalling events	5	0.0230	1.19E-4	1.08E-2
REACTOME_LEISHMANIA_INFECTION	219	Leishmania infection	5	0.0228	1.24E-4	1.08E-2
REACTOME_HEMOSTASIS	679	Hemostasis	8	0.0118	1.24E-4	1.08E-2
